industry_id,industry_name,city,state,year,download_url
1032,EID Parry  India Ltd,HALIYAL,Karnataka,2022,https://archive.org/download/ocems-data-archive/2022/1032.csv.gz
1032,EID Parry  India Ltd,HALIYAL,Karnataka,2023,https://archive.org/download/ocems-data-archive/2023/1032.csv.gz
1035,"ACC Cement Ltd, Lakheri",Lakheri,Rajasthan,2015,https://archive.org/download/ocems-data-archive/2015/1035.csv.gz
1035,"ACC Cement Ltd, Lakheri",Lakheri,Rajasthan,2016,https://archive.org/download/ocems-data-archive/2016/1035.csv.gz
1035,"ACC Cement Ltd, Lakheri",Lakheri,Rajasthan,2017,https://archive.org/download/ocems-data-archive/2017/1035.csv.gz
1035,"ACC Cement Ltd, Lakheri",Lakheri,Rajasthan,2018,https://archive.org/download/ocems-data-archive/2018/1035.csv.gz
1035,"ACC Cement Ltd, Lakheri",Lakheri,Rajasthan,2019,https://archive.org/download/ocems-data-archive/2019/1035.csv.gz
1035,"ACC Cement Ltd, Lakheri",Lakheri,Rajasthan,2020,https://archive.org/download/ocems-data-archive/2020/1035.csv.gz
1035,"ACC Cement Ltd, Lakheri",Lakheri,Rajasthan,2021,https://archive.org/download/ocems-data-archive/2021/1035.csv.gz
1035,"ACC Cement Ltd, Lakheri",Lakheri,Rajasthan,2022,https://archive.org/download/ocems-data-archive/2022/1035.csv.gz
1035,"ACC Cement Ltd, Lakheri",Lakheri,Rajasthan,2023,https://archive.org/download/ocems-data-archive/2023/1035.csv.gz
1038,NCL Industries Limited,Nalgonda,Telangana,2017,https://archive.org/download/ocems-data-archive/2017/1038.csv.gz
1038,NCL Industries Limited,Nalgonda,Telangana,2018,https://archive.org/download/ocems-data-archive/2018/1038.csv.gz
1038,NCL Industries Limited,Nalgonda,Telangana,2019,https://archive.org/download/ocems-data-archive/2019/1038.csv.gz
1038,NCL Industries Limited,Nalgonda,Telangana,2020,https://archive.org/download/ocems-data-archive/2020/1038.csv.gz
1038,NCL Industries Limited,Nalgonda,Telangana,2021,https://archive.org/download/ocems-data-archive/2021/1038.csv.gz
1038,NCL Industries Limited,Nalgonda,Telangana,2022,https://archive.org/download/ocems-data-archive/2022/1038.csv.gz
1038,NCL Industries Limited,Nalgonda,Telangana,2023,https://archive.org/download/ocems-data-archive/2023/1038.csv.gz
1039,"Ultratech Cement Ltd, Dadri",Dadri,UP,2017,https://archive.org/download/ocems-data-archive/2017/1039.csv.gz
1039,"Ultratech Cement Ltd, Dadri",Dadri,UP,2018,https://archive.org/download/ocems-data-archive/2018/1039.csv.gz
1039,"Ultratech Cement Ltd, Dadri",Dadri,UP,2019,https://archive.org/download/ocems-data-archive/2019/1039.csv.gz
1039,"Ultratech Cement Ltd, Dadri",Dadri,UP,2020,https://archive.org/download/ocems-data-archive/2020/1039.csv.gz
1039,"Ultratech Cement Ltd, Dadri",Dadri,UP,2021,https://archive.org/download/ocems-data-archive/2021/1039.csv.gz
1039,"Ultratech Cement Ltd, Dadri",Dadri,UP,2022,https://archive.org/download/ocems-data-archive/2022/1039.csv.gz
